project_id,file_name,language,framework,lines_of_code,cyclomatic_complexity,num_methods,num_classes,code_smell_type,smell_severity,refactoring_suggested,refactoring_applied,pre_refactor_complexity,post_refactor_complexity,technical_debt_minutes,maintainability_index,bug_prone_score,developer_experience_years
1769,file_11.py,Java,Flask,191,12,66,9,Switch Statements,Critical,Inline Method,0,33,32,156,94.11,0.595,10
7949,file_12.py,Java,Django,428,10,60,17,Lazy Class,Major,Introduce Parameter Object,0,8,12,141,42.07,0.935,14
7420,file_16.py,Java,Django,869,20,28,10,Feature Envy,Minor,Introduce Parameter Object,1,58,16,441,99.12,0.345,9
2184,file_17.py,Java,,353,10,28,2,Duplicated Code,Critical,Replace Conditional with Polymorphism,0,47,30,183,45.44,0.512,18
3558,file_22.py,Java,Angular,1987,21,71,9,Duplicated Code,Major,Inline Method,1,44,28,152,94.42,0.363,16
8849,file_23.py,Java,React,946,16,78,15,God Class,Major,Inline Method,1,44,4,163,44.98,0.787,6
5658,file_29.py,Java,Spring,836,40,12,17,Temporary Field,Critical,Move Method,1,27,20,495,31.96,0.577,1
2267,file_32.py,Java,Spring,1638,16,25,18,Shotgun Surgery,Minor,Encapsulate Field,1,51,1,434,65.21,0.36,10
6393,file_37.py,Java,Angular,1226,28,49,6,Long Method,Major,Extract Class,1,45,5,79,69.23,0.113,15
9433,file_39.py,Java,Angular,1210,19,35,15,Feature Envy,Major,Introduce Parameter Object,1,40,7,488,48.55,0.174,3
1775,file_46.py,Java,,375,23,41,17,Feature Envy,Critical,Remove Dead Code,1,17,33,202,20.36,0.808,5
7439,file_64.py,Java,Django,1725,26,52,2,Inappropriate Intimacy,Critical,Extract Class,0,29,38,346,99.17,0.742,8
8916,file_67.py,Java,Django,192,23,48,3,Dead Code,Critical,Move Method,1,10,27,173,61.44,0.241,1
1878,file_69.py,Java,React,521,7,52,12,Switch Statements,Major,Inline Method,0,51,7,406,46.16,0.662,16
8208,file_75.py,Java,Angular,276,24,54,8,Duplicated Code,Major,Replace Conditional with Polymorphism,1,51,3,428,95.7,0.606,2
9006,file_79.py,Java,React,760,13,30,7,God Class,Critical,Extract Class,0,44,15,453,42.53,0.73,10
6258,file_84.py,Java,Flask,649,1,49,7,Feature Envy,Critical,Replace Conditional with Polymorphism,1,26,28,168,51.33,0.862,18
4099,file_91.py,Java,,456,39,72,10,Speculative Generality,Major,Extract Method,0,33,36,156,59.79,0.431,9
9392,file_93.py,Java,Spring,1933,26,38,14,Message Chains,Critical,Remove Dead Code,0,30,2,387,22.54,0.678,7
8215,file_95.py,Java,Spring,1762,21,35,1,Shotgun Surgery,Critical,Replace Conditional with Polymorphism,0,36,38,130,14.18,0.051,17
6056,file_100.py,Java,Spring,1604,11,26,5,Temporary Field,Critical,Introduce Parameter Object,1,57,2,94,11.76,0.882,16
9110,file_101.py,Java,Django,1510,6,46,5,Shotgun Surgery,Minor,Extract Method,1,55,16,106,60.87,0.933,0
6977,file_111.py,Java,Django,1645,16,47,6,Inappropriate Intimacy,Major,Split Class,0,11,1,431,28.25,0.13,13
2663,file_136.py,Java,Django,894,16,71,11,Switch Statements,Minor,Extract Method,1,29,34,456,24.26,0.106,1
6592,file_137.py,Java,Django,951,31,66,12,Feature Envy,Major,Inline Method,1,25,37,144,83.5,0.034,16
1663,file_148.py,Java,,1830,39,70,13,Data Clumps,Major,Introduce Parameter Object,1,29,28,364,23.32,0.194,11
2998,file_149.py,Java,Flask,1359,46,52,9,Lazy Class,Critical,Split Class,0,32,33,385,64.32,0.778,11
2495,file_151.py,Java,Django,354,40,24,17,Message Chains,Minor,Split Class,1,23,24,24,65.22,0.685,18
4763,file_153.py,Java,Angular,504,35,2,6,Temporary Field,Major,Introduce Parameter Object,0,43,26,442,75.43,0.863,5
2853,file_155.py,Java,Angular,62,22,57,7,Feature Envy,Critical,Replace Conditional with Polymorphism,1,20,24,94,33.25,0.273,17
7585,file_156.py,Java,Angular,787,3,72,7,Data Clumps,Major,Remove Dead Code,1,43,28,448,46.21,0.771,15
6172,file_171.py,Java,,83,7,20,10,Feature Envy,Major,Extract Class,0,49,33,22,86.68,0.053,15
1197,file_185.py,Java,React,812,40,71,12,Feature Envy,Critical,Split Class,1,8,36,19,14.13,0.055,5
8125,file_186.py,Java,,885,45,17,2,Message Chains,Major,Extract Class,1,7,39,434,88.52,0.729,8
5282,file_190.py,Java,Spring,638,5,5,4,God Class,Major,Introduce Parameter Object,0,33,17,448,43.82,0.358,2
8098,file_194.py,Java,React,1586,38,68,13,Feature Envy,Major,Extract Method,1,12,25,72,81.22,0.82,5
7546,file_195.py,Java,Spring,823,5,37,11,Dead Code,Critical,Inline Method,1,27,27,158,75.8,0.627,6
7616,file_211.py,Java,React,1721,31,25,13,Shotgun Surgery,Major,Replace Conditional with Polymorphism,0,9,1,24,72.2,0.045,12
1262,file_214.py,Java,,1066,14,21,1,Feature Envy,Critical,Inline Method,1,15,24,424,66.06,0.231,17
