project_id,file_name,language,framework,lines_of_code,cyclomatic_complexity,num_methods,num_classes,code_smell_type,smell_severity,refactoring_suggested,refactoring_applied,pre_refactor_complexity,post_refactor_complexity,technical_debt_minutes,maintainability_index,bug_prone_score,developer_experience_years
6051,file_15.py,Python,Django,1699,39,42,13,Long Method,Minor,Inline Method,0,40,35,67,13.94,0.726,3
5555,file_18.py,Python,,1747,45,79,4,Data Clumps,Major,Introduce Parameter Object,0,11,37,49,41.49,0.45,13
7396,file_20.py,Python,React,1243,6,32,6,Large Class,Critical,Remove Dead Code,0,34,20,111,65.61,0.995,8
9838,file_36.py,Python,React,699,22,17,5,Duplicated Code,Critical,Extract Class,1,47,16,370,79.62,0.167,11
8513,file_40.py,Python,Flask,795,17,23,12,Data Clumps,Critical,Replace Conditional with Polymorphism,1,30,1,180,54.45,0.866,12
3612,file_41.py,Python,Angular,181,38,22,9,Large Class,Minor,Extract Method,0,51,36,236,66.66,0.672,7
8041,file_42.py,Python,,839,6,19,4,Feature Envy,Critical,Extract Class,0,55,5,447,43.55,0.794,10
4943,file_50.py,Python,Flask,1166,31,51,17,Dead Code,Critical,Extract Class,0,7,27,211,82.2,0.094,13
1161,file_58.py,Python,Angular,871,49,32,16,Large Class,Minor,Extract Method,1,11,1,51,37.11,0.038,19
7863,file_66.py,Python,Angular,1631,32,61,18,Duplicated Code,Critical,Encapsulate Field,1,25,37,381,43.37,0.539,7
9529,file_68.py,Python,Django,326,9,48,13,Data Clumps,Major,Introduce Parameter Object,0,34,7,263,99.17,0.056,19
7331,file_72.py,Python,React,252,25,30,2,Duplicated Code,Critical,Encapsulate Field,0,33,12,193,87.81,0.701,5
9571,file_73.py,Python,Django,1839,40,55,14,Temporary Field,Major,Move Method,0,29,37,347,54.15,0.097,12
6276,file_76.py,Python,React,958,14,54,17,Duplicated Code,Critical,Introduce Parameter Object,0,57,38,461,53.23,0.612,6
1064,file_78.py,Python,Angular,675,24,57,8,Primitive Obsession,Critical,Replace Conditional with Polymorphism,1,8,4,471,53.3,0.282,5
3568,file_80.py,Python,Flask,1343,12,76,17,Shotgun Surgery,Critical,Encapsulate Field,0,16,35,22,42.12,0.412,15
3454,file_96.py,Python,React,375,15,59,12,Inappropriate Intimacy,Minor,Encapsulate Field,1,39,21,371,16.27,0.792,10
6134,file_110.py,Python,,1028,30,68,6,Shotgun Surgery,Minor,Split Class,1,8,27,307,19.62,0.992,7
8721,file_112.py,Python,Django,53,8,12,16,Feature Envy,Minor,Split Class,0,44,1,366,84.37,0.265,10
8035,file_113.py,Python,Angular,128,15,12,5,Large Class,Major,Extract Method,1,33,12,44,76.7,0.27,15
1863,file_116.py,Python,Spring,121,32,55,7,Feature Envy,Major,Move Method,1,48,15,53,88.7,0.874,18
3790,file_117.py,Python,React,647,37,9,3,Long Method,Minor,Move Method,0,22,37,441,12.88,0.717,12
8408,file_118.py,Python,Flask,1341,5,15,8,Data Clumps,Critical,Extract Class,0,54,9,21,10.91,0.21,6
9755,file_119.py,Python,Flask,786,29,50,11,Temporary Field,Minor,Inline Method,1,19,5,226,43.41,0.398,18
2678,file_126.py,Python,Django,1657,48,7,9,Data Clumps,Critical,Simplify Conditional,0,58,30,120,61.98,0.275,1
5636,file_128.py,Python,Spring,1042,47,74,16,Primitive Obsession,Major,Extract Method,1,44,25,418,61.8,0.782,1
6450,file_135.py,Python,Spring,469,25,75,4,Data Clumps,Critical,Rename Variable,0,58,4,54,78.43,0.604,12
2306,file_139.py,Python,Spring,220,12,3,9,Speculative Generality,Critical,Encapsulate Field,1,35,31,295,53.91,0.041,8
4748,file_147.py,Python,,839,2,30,8,God Class,Major,Inline Method,0,41,31,281,45.25,0.771,18
