project_id,file_name,language,framework,lines_of_code,cyclomatic_complexity,num_methods,num_classes,code_smell_type,smell_severity,refactoring_suggested,refactoring_applied,pre_refactor_complexity,post_refactor_complexity,technical_debt_minutes,maintainability_index,bug_prone_score,developer_experience_years
8270,file_0.py,C++,React,562,18,9,11,Shotgun Surgery,Major,Extract Method,0,27,13,65,45.53,0.734,4
1860,file_1.py,Go,Flask,715,8,36,5,Lazy Class,Minor,Rename Variable,0,46,10,38,47.63,0.47,5
6390,file_2.py,C#,Spring,1616,34,41,1,Feature Envy,Minor,Introduce Parameter Object,1,50,29,202,74.49,0.03,2
6191,file_3.py,JavaScript,Angular,386,20,57,1,Feature Envy,Major,Introduce Parameter Object,0,12,28,329,45.08,0.27,12
6734,file_4.py,C++,None,1478,27,38,5,Large Class,Minor,Extract Method,0,34,9,54,63.74,0.951,17
7265,file_5.py,JavaScript,Flask,1280,34,59,18,Data Clumps,Major,Inline Method,0,5,34,196,38.52,0.744,4
1466,file_6.py,Go,None,421,34,7,6,Feature Envy,Critical,Extract Class,0,22,13,470,45.07,0.101,12
5426,file_7.py,JavaScript,React,394,37,21,15,Large Class,Major,Introduce Parameter Object,0,26,2,497,83.58,0.463,4
6578,file_8.py,JavaScript,Flask,759,12,70,17,Data Clumps,Major,Replace Conditional with Polymorphism,1,29,25,431,66.84,0.635,15
9322,file_9.py,C#,Django,1595,15,76,13,Speculative Generality,Critical,Introduce Parameter Object,1,14,1,322,27.8,0.354,4
2685,file_10.py,C#,None,1701,16,35,2,Message Chains,Minor,Introduce Parameter Object,0,8,10,5,93.91,0.229,13
1769,file_11.py,Java,Flask,191,12,66,9,Switch Statements,Critical,Inline Method,0,33,32,156,94.11,0.595,10
7949,file_12.py,Java,Django,428,10,60,17,Lazy Class,Major,Introduce Parameter Object,0,8,12,141,42.07,0.935,14
3433,file_13.py,C#,React,1295,1,38,17,Large Class,Critical,Extract Class,1,20,16,431,49.8,0.841,15
6311,file_14.py,JavaScript,None,1674,36,7,19,Primitive Obsession,Critical,Remove Dead Code,0,59,16,131,35.6,0.507,4
6051,file_15.py,Python,Django,1699,39,42,13,Long Method,Minor,Inline Method,0,40,35,67,13.94,0.726,3
7420,file_16.py,Java,Django,869,20,28,10,Feature Envy,Minor,Introduce Parameter Object,1,58,16,441,99.12,0.345,9
2184,file_17.py,Java,None,353,10,28,2,Duplicated Code,Critical,Replace Conditional with Polymorphism,0,47,30,183,45.44,0.512,18
5555,file_18.py,Python,None,1747,45,79,4,Data Clumps,Major,Introduce Parameter Object,0,11,37,49,41.49,0.45,13
4385,file_19.py,Go,Angular,863,39,42,7,Speculative Generality,Major,Inline Method,0,14,13,349,97.82,0.74,9
7396,file_20.py,Python,React,1243,6,32,6,Large Class,Critical,Remove Dead Code,0,34,20,111,65.61,0.995,8
