sample_id,file_path,language,smell_type,entity_name,ground_truth
MLCQ_5771277_FeatureEnvy,client/idrepo/ui/src/main/java/org/apache/syncope/client/ui/commons/ConnIdSpecialName.java,java,FeatureEnvy,ConnIdSpecialName,0
MLCQ_5771277_LongMethod,client/idrepo/ui/src/main/java/org/apache/syncope/client/ui/commons/ConnIdSpecialName.java,java,LongMethod,ConnIdSpecialName,0
MLCQ_5786929_LargeClass,tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/writers/UnorderedPartitionedKVWriter.java,java,LargeClass,UnorderedPartitionedKVWriter,1
MLCQ_5786929_DataClass,tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/writers/UnorderedPartitionedKVWriter.java,java,DataClass,UnorderedPartitionedKVWriter,0
MLCQ_5788107_FeatureEnvy,tika-parsers/src/main/java/org/apache/tika/parser/ocr/TesseractOCRConfig.java,java,FeatureEnvy,getImageMagickPath,0
MLCQ_5788107_LongMethod,tika-parsers/src/main/java/org/apache/tika/parser/ocr/TesseractOCRConfig.java,java,LongMethod,getImageMagickPath,0
MLCQ_5788583_LongMethod,tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/shuffle/orderedgrouped/ShuffleHeader.java,java,LongMethod,writeLength,0
MLCQ_5788583_FeatureEnvy,tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/shuffle/orderedgrouped/ShuffleHeader.java,java,FeatureEnvy,writeLength,0
MLCQ_5789396_DataClass,tika-core/src/main/java/org/apache/tika/parser/multiple/SupplementingParser.java,java,DataClass,SupplementingParser,0
MLCQ_5789396_LargeClass,tika-core/src/main/java/org/apache/tika/parser/multiple/SupplementingParser.java,java,LargeClass,SupplementingParser,0
MLCQ_5799314_LargeClass,tapestry-core/src/main/java/org/apache/tapestry5/internal/services/RequestSecurityManagerImpl.java,java,LargeClass,RequestSecurityManagerImpl,0
MLCQ_5799314_DataClass,tapestry-core/src/main/java/org/apache/tapestry5/internal/services/RequestSecurityManagerImpl.java,java,DataClass,RequestSecurityManagerImpl,0
MLCQ_5799022_LargeClass,tapestry-core/src/main/java/org/apache/tapestry5/corelib/base/AbstractConditional.java,java,LargeClass,AbstractConditional,0
MLCQ_5799022_DataClass,tapestry-core/src/main/java/org/apache/tapestry5/corelib/base/AbstractConditional.java,java,DataClass,AbstractConditional,0
MLCQ_5798354_LongMethod,plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/util/Printer.java,java,LongMethod,visitMethodTypeAnnotation,0
MLCQ_5798354_FeatureEnvy,plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/util/Printer.java,java,FeatureEnvy,visitMethodTypeAnnotation,0
